25,15,43,29,47,33,30,14,26,25,0,11,32,35,52,55,44,39,22,15,15,42,52,60,43,53,33,20,25,38,10,8,10,24,35,33,28,41,60,56,36,54,48,57,49,32,30,22,18,25,21
33,26,50,40,57,35,35,15,24,35,11,0,42,41,55,60,46,38,25,7,25,51,60,69,54,63,43,29,35,49,20,17,15,35,46,43,18,45,61,66,44,62,53,62,51,30,24,15,14,14,32
15,16,23,11,15,35,25,33,40,25,32,42,0,22,43,36,42,45,30,43,30,15,25,30,15,21,7,15,9,15,26,25,37,17,25,32,54,33,54,25,14,29,34,41,44,44,49,46,40,55,12
11,26,9,32,25,15,7,26,26,43,35,41,22,0,21,20,20,25,18,38,42,15,21,32,36,35,15,15,16,38,36,27,44,35,46,51,44,11,32,32,10,21,14,23,21,27,36,38,31,49,27
32,46,21,53,41,20,22,40,33,64,52,55,43,21,0,15,11,22,30,50,62,31,30,40,55,50,36,36,37,58,55,44,62,56,67,73,51,11,11,45,29,27,9,10,5,29,40,46,42,58,48
30,45,13,47,29,29,25,46,42,60,55,60,36,20,15,0,25,35,36,57,61,21,15,25,46,38,29,35,33,50,55,47,64,52,61,68,61,18,25,30,22,12,9,7,21,40,51,55,49,67,45
29,42,25,51,45,11,18,31,23,60,44,46,42,20,11,25,0,11,22,40,57,35,36,47,57,55,36,32,35,58,50,38,55,53,65,69,40,10,15,50,30,34,16,21,6,18,29,36,32,48,45
30,40,32,52,50,10,20,25,13,58,39,38,45,25,22,35,11,0,18,31,53,41,44,55,60,60,40,31,36,60,46,34,49,52,65,67,30,18,25,57,35,43,26,32,17,8,18,26,23,38,45
15,22,27,35,40,11,11,10,10,40,22,25,30,18,30,36,22,18,0,20,35,32,39,49,45,49,26,15,21,44,28,16,32,35,47,49,26,20,38,48,25,39,28,37,27,14,19,20,13,31,27
32,28,47,42,56,30,31,11,17,40,15,7,43,38,50,57,40,31,20,0,30,50,58,68,55,64,42,28,34,52,25,17,21,38,50,48,13,40,55,65,43,59,48,57,46,23,17,8,8,12,34
31,16,49,22,46,46,40,29,41,11,15,25,30,42,62,61,57,53,35,30,0,45,55,60,36,49,35,26,28,29,7,19,10,15,22,18,43,51,72,55,40,58,57,65,61,47,46,38,34,39,18
18,29,10,26,10,31,22,39,41,41,42,51,15,15,31,21,35,41,32,50,45,0,10,18,25,20,10,22,17,29,40,34,50,32,40,48,58,25,42,17,7,13,22,27,34,42,51,51,45,61,27
26,39,12,36,14,36,28,47,48,50,52,60,25,21,30,15,36,44,39,58,55,10,0,11,32,22,20,31,27,37,50,44,59,42,49,57,65,26,40,15,15,4,21,23,34,48,57,59,52,69,37
36,46,23,40,15,47,39,57,58,55,60,69,30,32,40,25,47,55,49,68,60,18,11,0,31,18,26,40,34,38,57,52,67,47,50,60,76,38,50,8,25,13,31,32,44,59,68,69,63,79,42
30,27,34,14,18,50,40,47,55,26,43,54,15,36,55,46,57,60,45,55,36,25,32,31,0,15,20,30,24,7,35,38,45,20,20,30,67,47,67,23,26,36,47,52,57,59,64,60,54,67,21
33,37,30,26,10,50,41,54,59,41,53,63,21,35,50,38,55,60,49,64,49,20,22,18,15,0,22,36,29,22,47,46,57,34,35,45,74,45,61,9,25,26,41,45,54,61,68,67,61,76,32
11,19,16,18,14,30,20,32,37,31,33,43,7,15,36,29,36,40,26,42,35,10,20,26,20,22,0,14,8,22,30,26,40,23,32,39,52,26,47,23,7,23,27,34,37,39,46,45,38,54,17
5,10,23,20,28,22,14,18,25,28,20,29,15,15,36,35,32,31,15,28,26,22,31,40,30,36,14,0,6,29,20,12,29,21,33,37,38,25,46,37,15,33,30,38,35,29,33,31,25,40,13
6,12,20,16,22,26,17,24,31,26,25,35,9,16,37,33,35,36,21,34,28,17,27,34,24,29,8,6,0,23,23,18,32,19,30,35,45,27,48,31,12,30,30,38,37,35,40,38,31,46,11
29,24,38,9,23,50,40,44,54,20,38,49,15,38,58,50,58,60,44,52,29,29,37,38,7,22,22,29,23,0,30,34,39,14,13,23,64,49,69,30,29,41,50,56,59,58,62,57,51,63,17
25,11,43,21,42,39,33,22,34,15,10,20,26,36,55,55,50,46,28,25,7,40,50,57,35,47,30,20,23,30,0,12,10,15,25,23,38,44,65,52,35,53,50,59,54,40,39,32,28,34,14
17,10,35,25,40,27,22,11,22,25,8,17,25,27,44,47,38,34,16,17,19,34,44,52,38,46,26,12,18,34,12,0,17,22,34,34,30,33,53,49,28,46,40,49,42,28,29,23,18,29,16
34,20,52,31,52,43,40,24,36,21,10,15,37,44,62,64,55,49,32,21,10,50,59,67,45,57,40,29,32,39,10,17,0,24,33,28,34,51,70,62,44,62,58,67,60,42,39,29,27,29,25
24,12,39,7,32,43,35,33,43,8,24,35,17,35,56,52,53,52,35,38,15,32,42,47,20,34,23,21,19,14,15,22,24,0,12,16,51,45,67,40,29,46,49,57,56,49,51,45,40,49,7
36,24,48,14,36,55,47,45,56,11,35,46,25,46,67,61,65,65,47,50,22,40,49,50,20,35,32,33,30,13,25,34,33,12,0,10,63,57,78,43,39,53,59,66,67,61,63,57,52,60,19
41,27,55,21,45,59,51,45,57,9,33,43,32,51,73,68,69,67,49,48,18,48,57,60,30,45,39,37,35,23,23,34,28,16,10,0,61,62,83,53,46,61,65,73,72,63,63,55,51,57,24
41,40,54,55,66,32,37,20,18,53,28,18,54,44,51,61,40,30,26,13,43,58,65,76,67,74,52,38,45,64,38,30,34,51,63,61,0,43,55,75,51,66,52,60,46,22,12,7,13,8,46
21,35,15,43,35,11,11,30,25,53,41,45,33,11,11,18,10,18,20,40,51,25,26,38,47,45,26,25,27,49,44,33,51,45,57,62,43,0,21,40,20,25,8,17,10,22,33,37,32,50,38
42,56,32,64,52,26,32,47,38,74,60,61,54,32,11,25,15,25,38,55,72,42,40,50,67,61,47,46,48,69,65,53,70,67,78,83,55,21,0,55,40,37,20,18,10,33,43,51,47,63,59
33,41,25,33,9,48,39,55,58,48,56,66,25,32,45,30,50,57,48,65,55,17,15,8,23,9,23,37,31,30,52,49,62,40,43,53,75,40,55,0,23,18,36,38,49,59,68,68,61,77,37
11,24,9,25,15,25,15,32,34,38,36,44,14,10,29,22,30,35,25,43,40,7,15,25,26,25,7,15,12,29,35,28,44,29,39,46,51,20,40,23,0,18,20,27,31,36,44,44,38,54,23
28,42,12,40,18,35,28,48,48,54,54,62,29,21,27,12,34,43,39,59,58,13,4,13,36,26,23,33,30,41,53,46,62,46,53,61,66,25,37,18,18,0,18,19,31,47,57,59,53,70,40
25,40,12,45,32,20,18,38,34,57,48,53,34,14,9,9,16,26,28,48,57,22,21,31,47,41,27,30,30,50,50,40,58,49,59,65,52,8,20,36,20,18,0,9,13,31,42,46,41,58,41
34,49,18,52,36,28,27,47,42,65,57,62,41,23,10,7,21,32,37,57,65,27,23,32,52,45,34,38,38,56,59,49,67,57,66,73,60,17,18,38,27,19,9,0,16,38,49,55,50,67,50
31,46,24,53,44,16,21,37,29,63,49,51,44,21,5,21,6,17,27,46,61,34,34,44,57,54,37,35,37,59,54,42,60,56,67,72,46,10,10,49,31,31,13,16,0,24,35,42,38,54,48
29,36,35,49,52,12,20,18,6,53,32,30,44,27,29,40,18,8,14,23,47,42,48,59,59,61,39,29,35,58,40,28,42,49,61,63,22,22,33,59,36,47,31,38,24,0,10,18,15,30,41
35,39,45,53,59,22,29,18,9,54,30,24,49,36,40,51,29,18,19,17,46,51,57,68,64,68,46,33,40,62,39,29,39,51,63,63,12,33,43,68,44,57,42,49,35,10,0,10,11,20,45
34,33,47,48,59,26,31,13,13,47,22,15,46,38,46,55,36,26,20,8,38,51,59,69,60,67,45,31,38,57,32,23,29,45,57,55,7,37,51,68,44,59,46,55,42,18,10,0,6,12,40
27,28,41,42,52,22,25,7,9,42,18,14,40,31,42,49,32,23,13,8,34,45,52,63,54,61,38,25,31,51,28,18,27,40,52,51,13,32,47,61,38,53,41,50,38,15,11,6,0,17,34
43,39,58,54,68,39,42,22,25,49,25,14,55,49,58,67,48,38,31,12,39,61,69,79,67,76,54,40,46,63,34,29,29,49,60,57,8,50,63,77,54,70,58,67,54,30,20,12,17,0,46
16,6,32,8,28,36,27,27,37,15,21,32,12,27,48,45,45,45,27,34,18,27,37,42,21,32,17,13,11,17,14,16,25,7,19,24,46,38,59,37,23,40,41,50,48,41,45,40,34,46,0
